lambda,alpha,fit_stage,commitment_nll,signaling_nll,binomial_nll,sim_commitment_human_weighted_average,sim_signaling_human_weighted_average,sim_commitment_equal_to_both,sim_signaling_equal_to_both,raw_trials,summary_path,trials_path,command,average_success_percent,average_efficiency_percent,average_commitment_percent,average_signaling_percent,equal_success_percent,equal_efficiency_percent,equal_commitment_percent,equal_signaling_percent,average_btom_step1_percent,equal_btom_step1_percent
0.1,0.0,joint_grid,173.9502432371462,200.25169826148328,374.2019414986295,0.6698356807511736,0.3331884649220025,0.7833333333333333,0.4492753623188406,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.0 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep,86.11111111111111,85.14792836623056,66.88161375661376,32.41732804232804,97.77777777777777,93.58948443078344,79.72222222222223,45.55555555555556,62.21230113849633,69.07188403038181
0.1,0.1,joint_grid,175.36787422338267,198.45605425147915,373.8239284748618,0.6272300469483568,0.3468233943423178,0.7277777777777777,0.4642857142857143,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p1_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p1_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p1_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.1 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,86.94444444444444,84.80182303308871,61.32605820105819,33.2771164021164,97.77777777777777,93.2520446374613,73.05555555555556,49.44444444444444,62.73484166435367,71.37070226091862
0.1,0.2,joint_grid,175.4027477699837,194.1117095536528,369.5144573236365,0.6051643192488263,0.37273830227488225,0.7222222222222222,0.5073529411764706,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p2_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p2_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p2_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.2 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,88.05555555555556,84.40858011401943,58.52513227513227,35.79034391534391,97.77777777777777,93.43431018705141,71.38888888888889,53.333333333333336,64.5318060249681,73.20805605522256
0.1,0.3,joint_grid,178.2373376784443,192.36617101078411,370.6035086892284,0.5902973395931143,0.3769784696675902,0.6777777777777778,0.5079365079365079,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p3_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p3_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p3_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.3 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,85.27777777777777,84.02686154948583,56.86838624338625,35.49933862433862,95.55555555555556,92.37215763472811,66.37931034482759,52.01149425287356,64.88086950942024,71.68079604626782
0.1,0.4,joint_grid,178.19736159901296,189.90188662160665,368.09924822061964,0.6052034428794992,0.3989163639646113,0.6777777777777778,0.5579710144927537,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p4_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p4_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p4_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.4 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,86.94444444444444,83.91074969887627,59.01521164021164,38.68584656084656,96.66666666666667,93.6445757056011,68.6111111111111,56.666666666666664,65.36776879356732,74.42666236118738
0.1,0.5,joint_grid,184.5023422267829,186.5644696374336,371.0668118642165,0.5661189358372457,0.4099071308095998,0.6111111111111112,0.5298507462686567,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p5_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p5_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p5_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.5 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,87.5,82.94697913302235,54.908068783068785,39.76190476190476,94.44444444444444,93.21049764423823,60.27777777777777,52.77777777777778,65.64729416266513,71.7170384435823
0.1,0.6,joint_grid,186.19875023690867,191.5138074579594,377.71255769486805,0.5666666666666667,0.38141411320483554,0.5833333333333334,0.5144927536231884,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p6_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p6_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p6_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.6 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,86.94444444444444,83.0093536609954,56.32936507936507,36.81878306878306,94.44444444444444,93.74676110437292,59.16666666666668,53.05555555555556,64.69653363451422,71.9272147200678
0.1,0.7,joint_grid,186.58784625305873,193.02519850735285,379.6130447604116,0.5797730829420971,0.3691193147367006,0.5833333333333334,0.5,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p7_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p7_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p7_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.7 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,88.33333333333333,82.91049629726447,57.17923280423282,35.79695767195767,95.55555555555556,92.75906490763946,58.611111111111114,51.944444444444436,63.675846195469646,71.29636158542382
0.1,0.8,joint_grid,179.59405991480895,192.01604328903744,371.6101032038464,0.5831768388106416,0.38354629483426655,0.6611111111111111,0.5367647058823529,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p8_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p8_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p8_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.8 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,88.61111111111111,82.89466660664048,56.92791005291006,37.070767195767196,96.66666666666667,91.65329721853843,66.94444444444444,55.55555555555556,64.79989268022997,71.6813691508616
0.1,0.9,joint_grid,181.39347021396782,192.33660279260798,373.7300730065758,0.6035602503912363,0.3812363935174377,0.6388888888888888,0.5298507462686567,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_0p9_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_0p9_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_0p9_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 0.9 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,89.16666666666667,83.02919279047651,60.20171957671957,36.15410052910052,97.77777777777777,91.3365193312415,66.66666666666666,54.59770114942528,64.34315434302582,72.86345531555477
0.1,1.0,joint_grid,181.57094337841784,194.24414704829178,375.8150904267096,0.5886932707355242,0.3620890885089668,0.6333333333333333,0.49264705882352944,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p1_alpha_1_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.1 --alpha 1.0 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_alpha_sweep,88.61111111111111,83.0964982057188,58.947751322751316,35.11574074074073,96.66666666666667,93.49414797544313,67.2222222222222,50.55555555555556,64.33170660686177,71.51596038979969
0.15,0.0,joint_grid,177.5946633096653,197.29921061916446,374.89387392882975,0.7199921752738654,0.33885601032981433,0.8111111111111111,0.4264705882352941,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p15_alpha_0_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p15_alpha_0_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.15 --alpha 0.0 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_no_signaling_lambda_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_no_signaling_lambda_sweep,90.83333333333333,86.43536184827033,72.43716931216932,33.19113756613757,100.0,95.47461489128155,84.72222222222221,43.05555555555555,62.08620513172784,66.58809745936834
0.15,0.1,joint_grid,178.05689884745127,198.7030291796953,376.75992802714654,0.7143974960876369,0.3398972364621019,0.7944444444444444,0.4453125,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_raw_trials_beta_3_lambda_0p15_alpha_0p1_sessions_0_to_29.json.zst,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_summary_beta_3_lambda_0p15_alpha_0p1_sessions_0_to_29.json,/Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep/always_signal_vs_always_signal_2p3g_trials_beta_3_lambda_0p15_alpha_0p1_sessions_0_to_29.json,node /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/scripts/simulate_always_signal_vs_always_signal_2p3g.js --sessions 30 --trials 12 --seed 42 --lambda 0.15 --alpha 0.1 --beta 3.0 --score logposterior --horizon 1 --unshaped-joint-rl --compact-diagnostics --output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/model_model/joint_rl/outputs/no_latent_joint_rl_shared_agency_baseline/simulations/shared_agency_commitment_signaling_joint_lambda_alpha_sweep --raw-output-dir /Users/chengshaozhe/Documents/DukeECClab/code/multiplePlayerGridGame_socketIO/dataAnalysis/raw_data/model_model_simulations/joint_rl/no_latent_joint_rl_shared_agency_baseline/shared_agency_commitment_signaling_joint_lambda_alpha_sweep,90.0,86.13326353070276,72.255291005291,32.634920634920626,100.0,95.71801564448623,84.19540229885057,45.97701149425287,62.20795775764076,67.908611739646
